Num;Currency;FullName;Limit;Note
598;PGK;Кина;;
608;PHP;Филиппинское песо;;
586;PKR;Пакистанская рупия;;
985;PLN;Злотый;;
600;PYG;Гуарани;;
634;QAR;Катарский риал;;
946;RON;Румынский лей;;
941;RSD;Сербский динар;;
643;RUB;Российский рубль;;
646;RWF;Франк Руанды;;
682;SAR;Саудовский риял;;
90;SBD;Доллар Соломоновых Островов;;
690;SCR;Сейшельская рупия;;
938;SDG;Суданский фунт;;
752;SEK;Шведская крона;;
702;SGD;Сингапурский доллар;;
654;SHP;Фунт Святой Елены;;
694;SLL;Леоне;;
706;SOS;Сомалийский шиллинг;;
968;SRD;Суринамский доллар;;
728;SSP;Южносуданский фунт;;
222;SVC;Сальвадорский колон;;
760;SYP;Сирийский фунт;;
748;SZL;Лилангени;;
764;THB;Бат;;
972;TJS;Сомони;;
934;TMT;Новый туркменский манат;;
788;TND;Тунисский динар;;
776;TOP;Паанга;;
949;TRY;Турецкая лира;;
780;TTD;Доллар Тринидада и Тобаго;;
901;TWD;Новый тайваньский доллар;;
834;TZS;Танзанийский шиллинг;;
980;UAH;Гривна;;
800;UGX;Угандийский шиллинг;;
840;USD;Доллар США;;
940;UYI;Уругвайское песо в индексированных единицах;;
858;UYU;Уругвайское песо;;
860;UZS;Узбекский сум;;
704;VND;Донг;;
548;VUV;Вату;;
882;WST;Тала;;
950;XAF;Франк КФА ВЕАС;;3 Франк КФА ВЕАС – денежная единица Банка государств Центральной Африки.
951;XCD;Восточно-карибский доллар;;
960;XDR;СДР (специальные права заимствования);;
952;XOF;Франк КФА ВСЕАО;;4 Франк КФА ВСЕАО – денежная единица Центрального Банка государств Западной Африки
953;XPF;Франк КФП;;
886;YER;Йеменский риал;;
710;ZAR;Рэнд;;
967;ZMW;Замбийская квача;;
932;ZWL;Доллар Зимбабве;;
